"Add Your First Product","Sube tu primer producto"
"Add your Payment Details","Agrega tu información de pago"
"Product List","Lista de productos"
"Type","Tipo"
"Action","Acción"
"Reset Filter","Limpiar filtro"
"simple","simple"
"virtual","virtual"
"downloadable","descargable"
"Description","Descripción"
"Short Description","Descripción corta"
"SKU Available","SKU Disponible"
"SKU Already Exist","SKU Already Exist"
"SKU can't be empty","SKU can't be empty"
"Default Image","Default Image"
"Invalid extension! Please Upload an image","Invalid extension! Please Upload an image"
"Error processing the request please Try Again","Error processing the request please Try Again"
"Product Link Successfully Deleted","Product Link Successfully Deleted"
"Product Sample Successfully Deleted","Product Sample Successfully Deleted"
"Image Successfully Deleted","Image Successfully Deleted"
"Upload","Upload"
"Links","Links"
"Samples","Samples"
"Are you sure?","Are you sure?"
"No File Choosen","No File Choosen"
"No File...","No File..."
"Pending Products","Pending Products"
"Approved Products","Approved Products"
"All Products","All Products"
"Approve","Approve"
"Disapprove","Disapprove"
"Vendor Pending Products","Vendor Pending Products"
"Vendor Approved Products","Vendor Approved Products"
"Manage Vendor Products","Manage Vendor Products"
"You sure?","You sure?"
"Click to Approve","Click to Approve"
"Click to Disapprove","Click to Disapprove"
"Unable to delete the product","Unable to delete the product"
"Your Product Has Been Sucessfully Deleted","Your Product Has Been Sucessfully Deleted"
"The Product Name cannot be empty","The Product Name cannot be empty"
"The Product SKU cannot be empty","The Product SKU cannot be empty"
"The Product Weight cannot be empty","The Product Weight cannot be empty"
"The Product Weight must be 0 or Greater","The Product Weight must be 0 or Greater"
"The Product Stock cannot be empty","The Product Stock cannot be empty"
"The Product Stock must be a valid Number","The Product Stock must be a valid Number"
"The Product Tax Class cannot be empty","The Product Tax Class cannot be empty"
"The Product Price cannot be empty","The Product Price cannot be empty"
"The Product Price must be 0 or Greater","The Product Price must be 0 or Greater"
"The Product Special Price must be 0 or Greater","The Product Special Price must be 0 or Greater"
"The Product Short description cannot be empty","The Product Short description cannot be empty"
"The Product Description cannot be empty","The Product Description cannot be empty"
"Require Admin Approval","Require Admin Approval"
"Allowed Product Attribute Set","Allowed Product Attribute Set"
"Allowed Product Type","Allowed Product Type"
"Product approved notification email","Product approved notification email"
"Product rejected notification email","Product rejected notification email"
"Downloadable Product Configuration","Downloadable Product Configuration"
"Allowed Link Formats","Allowed Link Formats"
"Allowed Sample Formats","Allowed Sample Formats"
"Filter Report","Filtrar reporte"
"No Report Available","No hay reportes disponibles"
"No Transactions Available","No hay transacciones disponibles"
"No Orders Available","No hay órdenes disponibles"
"No product records found","No product records found"
"Start date","Fecha de inicio"
"End date","Fecha final"
"Vendor Payment Status","Estatus de pago"
"Total Sales","Ventas totales"
"Total Fees","Total Fees"
"Net Sales","Ventas netas"
"Status changed Successfully","Status changed Successfully"
"CsMarketplace's Products deleted successfully","CsMarketplace's Products deleted successfully"
"I am a Vendor","I am a Vendor"
"Transactions","Transacciones"
"Profile","Profile"
"Panel","Panel"
"From your Dashboard you have the ability to view a snapshot of your total orders , total sales , total sales country wise, sales statistics (week, month or year wise) and recent activity on your associated products.","Desde su cuenta usted tiene la posibilidad de ver una instantánea de sus órdenes totales, ventas totales, estadísticas de ventas y actividad reciente relacionada con sus productos."
"Total Orders","Total Orders"
"See more...","Ver más..."
"Total Earning","Total Earning"
"Sales Analytics","Sales Analytics"
"Today","Today"
"World Map","World Map"
"Edit Profile Information","Edit Profile Information"
"Vendor Dashboard","Vendor Dashboard"
"The profile information has been saved.","The profile information has been saved."
